property_name,link,society,price,rate,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,noOfFloor,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id
"5 Bedroom House for sale in Gurgaon, Delhi NCR",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-gurgaon-1350-sq-ft-spid-G68021922,,50 Lac,"₹ 3,704/sq.ft.",(125 sq.m.) Built-up Area,Built Up area: 1350 (125.42 sq.m.),5 Bedrooms,2 Bathrooms,No Balcony,,"Gurgaon, Delhi NCR, Gurgaon, Haryana",2 Floors,,undefined,,"5bhk residential house for resale in at gurgaon, delhi ncr location gurgaon","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,G68021922
2 Bedroom House for sale in New Jyoti Park,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-new-jyoti-park-gurgaon-900-sq-ft-spid-Z68021800,,1.15 Crore,"₹ 12,777/sq.ft.",(84 sq.m.) Carpet Area,Carpet area: 900 (83.61 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,,"67028 Jyoti Park Gurgaon, New Jyoti Park, Gurgaon, Haryana",4 Floors,North,undefined,"['State bank ATM', 'Ankur Clinic and Maternity Home', 'Esic Hospital Gurugram', 'Taneja Hospital', 'Navjeevan Hospital and Maternity Centre', 'Dr. Madan Clinic', 'Shiv Mahima Patient Care Bureau', 'Pearl Dental Clinic', 'Dev Man Kathuria Clinic', 'Shri Gobind Hospital', 'Dr. Ashok Jain', 'Lal Superspeciality Hospital', 'Mangalam Hospital and Heart Centre Gurgaon', 'Satyam Hospital Gurgaon', 'Chiranjiv Hospital', 'Swastik Maternity and Medical Centre', 'Shree Krishna Hospital Gurgaon', 'Geeta Nursing Home Gurgaon', 'Tirath Ram Hospitals Pvt Ltd', 'Kr Dental Hub', 'Sethi Hospital Gurgaon', 'My Care Clinic', 'Bindal Clinic', 'Shubham Hospital Gurgaon', 'M.S Hospital', 'Aryan Hospital', 'Triveni Hospital Gurgaon', 'Ravi Clinic and Health Care Centre', 'Shri Multispeciality Hospital', 'Bhanu Dental Care', 'Kathuria Hospital', 'Parashar Hospital', 'Pasricha Hospital and Maternity Home', 'Nangia Hospital Ent and Maternity', 'D.R. Rajnis Gupta Clinic', 'Vinayak Hospital Gurgaon', 'Rachna Dental Clinic', 'Rama Hospital & Nursing Home', 'Prateek Nursing Home And Polyclinic', 'Gurgaon Eye Centre', 'Parmar Dental Clinic & Lab', 'Dr. Ajay S. Gupta Clinic', 'Sparsh Hospital Gurgaon', 'Bhatnagar Maternity and Nursing Home', 'State bank of india', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School']","2bhk residential house for resale in new jyoti park, sector 9 67028 jyoti park gurgaon","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,Z68021800
3 Bedroom House for sale in Laxman Vihar,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-laxman-vihar-gurgaon-1053-sq-ft-spid-M68021784,,70 Lac,"₹ 6,648/sq.ft.",(98 sq.m.) Built-up Area,Built Up area: 117 (97.83 sq.m.),3 Bedrooms,3 Bathrooms,No Balcony,,"Laxman Vihar, Sector 3a, Laxman Vihar, Gurgaon, Haryana",1 Floors,,undefined,,"3bhk residential house for resale in laxman vihar, sector 3a laxman vihar, sector 3a",,,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",M68021784
6 Bedroom House for sale in Shivaji Nagar,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-shivaji-nagar-gurgaon-2700-sq-ft-spid-M68021744,Shivaji Nagar Residential,3.08 Crore,"₹ 11,407/sq.ft.",(251 sq.m.) Built-up Area,Built Up area: 2700 (250.84 sq.m.),6 Bedrooms,4 Bathrooms,2 Balconies,,"4145., Shivaji Nagar, Gurgaon, Haryana",1 Floors,,undefined,"['Hanuman Mandir', 'Dr. Ajay S. Gupta Clinic', 'Gupta Hospital Gurgaon', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Sharma Hospital Gurgaon', 'Triveni Hospital Gurgaon', 'Verma E.N.T. Hospital', 'Nova Care Clinic', 'My Care Clinic', 'M.S Hospital', 'Bindal Clinic', 'Lall Eye Care Centre', 'Kharbanda Maternity and Nursing Home', 'Om Charitable Dental & Implant Centre', 'Lall Nursing and Maternity Home', 'Dentecare - Multispeciality Dental Clinic', 'Dental Health Centre', 'Lalit Dental Care', 'M Goel Hospital', 'Ahooja Eye and Dental Institute Hospital', 'Kidney Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Dr. Sandeep Chauhan', 'Dr. Sarvejeet Singh', 'Ravi Clinic and Health Care Centre', 'Swastik Maternity and Medical Centre', 'Chiranjiv Hospital', 'Bhatnagar Maternity and Nursing Home', 'Jackson Hospital', 'Geeta Nursing Home Gurgaon', 'Satyam Hospital Gurgaon', 'Sparsh Hospital Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Rama Hospital & Nursing Home', 'Pasricha Hospital and Maternity Home', 'Aarvy Hospital', 'Dev Man Kathuria Clinic', 'Shubham Hospital Gurgaon', 'Tirath Ram Hospitals Pvt Ltd', 'Aryan Hospital', 'Sethi Hospital Gurgaon', 'Nangia Hospital Ent and Maternity', 'Dr. Madan Clinic', 'IBP Petrol Station', 'Punjab national bank', 'State bank of india', 'Rang Parivartan', 'Dronacharya Government College', 'govt sec school', 'District library gurgaon']","6bhk residential house for resale in shivaji nagar residential at shivaji nagar, sector 11 shivaji nagar residential 4145.","['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",M68021744
2 Bedroom House for sale in Sector 56 Gurgaon,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-sector-56-gurgaon-1458-sq-ft-spid-N68021704,,2.95 Crore,"₹ 20,233/sq.ft.",(135 sq.m.) Built-up Area,Built Up area: 162 (135.45 sq.m.),2 Bedrooms,2 Bathrooms,No Balcony,,"Sector 56, Sector 56 Gurgaon, Gurgaon, Haryana",1 Floors,North,undefined,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Sanatan Dharm Mandir', 'Radhakrishna Shani Mandir', 'Icici bank ATM', 'State bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'Kriti Hospital', 'Surgicare Hospital Gurgaon', 'pracksht hospital', 'Anand Hospital Gurgaon', 'Arunodaya Deseret Eye Hospital', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Intellion Park', 'International Tech Park', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank and atm', 'State bank of india', 'Kotak mahindra bank', 'Indusind bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', 'Hdfc bank', '222', 'Pizza Hut', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Clock tower', 'Starbucks', ""Carl's Jr."", 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Suncity School']",2bhk residential house for resale in sector 56 sector 56,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",N68021704
6 Bedroom House for sale in Sector 33 Gurgaon,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-unitech-uniworld-resorts-sector-33-gurgaon-4500-sq-ft-spid-W68021440,Unitech Uniworld Resorts,8 Crore,"₹ 17,778/sq.ft.",(418 sq.m.) Built-up Area,Built Up area: 500 (418.06 sq.m.),6 Bedrooms,5 Bathrooms,3+ Balconies,,"A 121 The Villas Uniworld Resorts, Sector 33 Gurgaon, Gurgaon, Haryana",4 Floors,,undefined,,6bhk villa for resale in unitech the villas at sector 33 unitech the villas a 121 the villas uniworld resorts,,,"['Environment3 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",W68021440
4 Bedroom House for sale in Sector 82 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vatika-india-next-sector-82-gurgaon-3240-sq-ft-spid-O68021412,Vatika India Next4.1 ★,6.5 Crore,"₹ 20,062/sq.ft.",(301 sq.m.) Built-up Area,Built Up area: 360 (301.01 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),4 Bedrooms,3 Bathrooms,No Balcony,,"Sector 82, Sector 82 Gurgaon, Gurgaon, Haryana",2 Floors,,undefined,"['Sapphire 83 Mall', 'Dwarka expressway', 'Delhi Public School', 'Miracles Apollo Hospital', 'IGI Airport', 'Garhi Harsaru Junction', 'Hyatt Regency Hotel', 'Cricket academy']",4bhk villa for resale in vatika india next at sector 82 vatika india next sector 82,,,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",O68021412
7 Bedroom House for sale in Sector 7 Gurgaon,https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-sector-7-gurgaon-2610-sq-ft-spid-E68021382,,3 Crore,"₹ 11,494/sq.ft.",(242 sq.m.) Built-up Area,Built Up area: 2610 (242.48 sq.m.),7 Bedrooms,7 Bathrooms,No Balcony,,"Sector 7 Ext, Sector 7 Gurgaon, Gurgaon, Haryana",3 Floors,,undefined,,7bhk residential house for resale in sector 7 ext sector 7 ext,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",E68021382
6 Bedroom House for sale in Sector 52 Gurgaon,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-raj-villas-sector-52-gurgaon-3132-sq-ft-spid-A68021376,Raj Villas,8 Crore,"₹ 25,543/sq.ft.",(291 sq.m.) Carpet Area,Carpet area: 348 (290.97 sq.m.),6 Bedrooms,5 Bathrooms,3+ Balconies,,"B21, Sector 63,gurgaon, Sector 52 Gurgaon, Gurgaon, Haryana",4 Floors,East,undefined,"['pracksht hospital', 'International Tech Park', 'Intellion Park', 'SPAZE BUSINESS PARK', 'Hdfc bank']","6bhk villa for resale in anant raj manor villas at sector 63a anant raj manor villas b21, sector 63,gurgaon","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",A68021376
6 Bedroom House for sale in Sector 12A Gurgaon,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-12-a-gurgaon-2228-sq-ft-spid-M68021346,,2.75 Crore,"₹ 12,343/sq.ft.",(207 sq.m.) Built-up Area,Built Up area: 2228 (206.99 sq.m.),6 Bedrooms,6 Bathrooms,2 Balconies,,"Gurgaon, Sector 12A Gurgaon, Gurgaon, Haryana",2 Floors,,undefined,,6bhk residential house for resale in sector 12a gurgaon,,,"['Environment3 out of 5', 'Lifestyle4 out of 5', 'Connectivity4.5 out of 5', 'Safety4 out of 5']",M68021346
5 Bedroom House for sale in Sector 7 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sector-7-gurgaon-1332-sq-ft-spid-B68021340,,2.25 Crore,"₹ 16,892/sq.ft.",(124 sq.m.) Built-up Area,Built Up area: 148 (123.75 sq.m.),5 Bedrooms,3 Bathrooms,No Balcony,,"Sector 7, Sector 7 Gurgaon, Gurgaon, Haryana",2 Floors,,undefined,,5bhk residential house for resale in sector 7 sector 7,,,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",B68021340
3 Bedroom House for sale in Gandhi Nagar,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-gandhi-nagar-gurgaon-1800-sq-ft-spid-O68021286,,1.45 Crore,"₹ 8,000/sq.ft.",(167 sq.m.) Built-up Area,Built Up area: 1800 (167.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3 Bedrooms,2 Bathrooms,1 Balcony,,"68/179 Gali No 10 Gandhi Nagar Sector 11 Near Sharda International School Gurgaon, Gandhi Nagar, Gurgaon, Haryana",1 Floors,North,1 to 5 Year Old,"['Shri Balaji Hospital and Trauma Center', 'Kamla Hospital Gurgaon', 'Shri Multispeciality Hospital', 'Yadav Hospital Gurgoan', 'Chandna Dental Surgery Orthodontic and Implant Centre', 'The Muskan Dental Clinic', 'Dental Xpert Dental Clinic', 'Harshila Dental Clinic', 'Gautam Hospital', 'Clove Dental', 'Boxer Fuel Point', 'Basai dhankot railway station']",3bhk residential house for sale. 68/179 gali no 10 gandhi nagar sector 11 near sharda international school gurgaon,,,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety3 out of 5']",O68021286
3 Bedroom House for sale in Lajpat Nagar,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-lajpat-nagar-gurgaon-2000-sq-ft-spid-U68021280,,3.5 Crore,"₹ 17,500/sq.ft.",(204 sq.m.) Plot Area,Plot area 2200(204.39 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.),3 Bedrooms,3 Bathrooms,1 Balcony,,"H.No. 77, Lajpat Nagar Near Miawali Colony, Lajpat Nagar, Gurgaon, Haryana",2 Floors,North-East,undefined,,"3bhk residential house for resale in lajpat nagar h.No. 77, lajpat nagar near miawali colony","['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,U68021280
3 Bedroom House for sale in Sohna Gurgaon Road,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-gurgaon-2100-sq-ft-spid-K68021276,,82 Lac,"₹ 3,904/sq.ft.",(195 sq.m.) Carpet Area,Carpet area: 2100 (195.1 sq.m.),3 Bedrooms,2 Bathrooms,1 Balcony,,"Sohna Gurgaon Road, Sohna Gurgaon Road, Gurgaon, Haryana",1 Floors,North,undefined,"['Icici bank ATM', 'Standard chartered ATM', 'Best Urologist Atcomplete Family Clinic', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Neelkanth Health Care', 'Dr. Anuj Sharma', 'Dr. Naresh Pandita', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Skin Clinic', 'Divine Look Clinic Centre', 'Bones Clinic - Orthopaedics', 'Meher Clinic', 'Samvit Health Care', 'Sukhmani Hospital Pvt. Ltd', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Ekta Hospital', 'Sai Heart and Trauma Center', 'Medanta', 'Sai Dharamraj Hospital', 'Sanjeevani Hospital Gurgaon', 'Sona Devi Memorial Hospital and Trauma Centre', 'Wembley estate club', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'India Oil', 'Hdfc bank', 'Icici bank', 'Hdfc bank', 'Indusind bank', 'Hdfc bank', 'SRS Cinemas', 'SRS Cinemas', ""Domino's Pizza"", ""Nirula's"", 'Haldiram', 'Nook', 'Starbucks', 'India', 'KFC', 'Delhi Public School Primary Section', 'Kamla International']",3bhk residential house for resale in sohna gurgaon road sohna gurgaon road,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,K68021276
5 Bedroom House for sale in Sector 108 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sobha-city-sector-108-gurgaon-7331-sq-ft-spid-K68014772,Sobha City,10.5 Crore,"₹ 14,323/sq.ft.",(681 sq.m.) Built-up Area,Built Up area: 7331 (681.07 sq.m.),5 Bedrooms,4 Bathrooms,3+ Balconies,,"Sector 109, Sector 108 Gurgaon, Gurgaon, Haryana",1 Floors,East,undefined,"['Dwarka Sector 21', 'Dwarka Expressway', 'Vasant Kunj', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'IGI Airport', 'Gurgaon', 'WTC Plaza', 'Luxus Haritma Resort', 'Fun N Food WaterPark', 'BSF Golf Course', 'Nehru Stadium']",Most luxurious property in the vicinity sobha international city sector 109,,,"['Environment4 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity4.5 out of 5', 'Safety4.5 out of 5']",K68014772
3 Bedroom House for sale in Jacobpura,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-jacobpura-gurgaon-900-sq-ft-spid-N68008590,,38 Lac,"₹ 4,222/sq.ft.",(84 sq.m.) Plot Area,Plot area 900(83.61 sq.m.),3 Bedrooms,3 Bathrooms,3 Balconies,,"Jacobpura, Gurgaon, Haryana",3 Floors,,1 to 5 Year Old,"['Hanuman Mandir', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Sharma Hospital Gurgaon', 'Gupta Hospital Gurgaon', 'Ahooja Eye and Dental Institute Hospital', 'Dr. Sandeep Chauhan', 'Verma E.N.T. Hospital', 'Nova Care Clinic', 'Dr. Ajay S. Gupta Clinic', 'Dental Health Centre', 'Lall Eye Care Centre', 'Om Charitable Dental & Implant Centre', 'Lall Nursing and Maternity Home', 'Dentecare - Multispeciality Dental Clinic', 'Kharbanda Maternity and Nursing Home', 'M Goel Hospital', 'Lalit Dental Care', 'Aarvy Hospital', 'Triveni Hospital Gurgaon', 'Kidney Clinic', 'My Care Clinic', 'M.S Hospital', 'Centre For Sight Gurgaon New Railway Road', 'Bindal Clinic', 'Dr. Sarvejeet Singh', 'Jackson Hospital', 'Rama Hospital & Nursing Home', 'Pasricha Hospital and Maternity Home', 'Bhatnagar Maternity and Nursing Home', 'Ravi Clinic and Health Care Centre', 'Swastik Maternity and Medical Centre', 'Thakral Nursing and Maternity Home', 'Lotus Hospital Gurgaon', 'Mamta Hospital Gurgaon', 'Shubham Hospital Gurgaon', 'Chiranjiv Hospital', 'Nangia Hospital Ent and Maternity', 'Sethi Hospital Gurgaon', 'Tirath Ram Hospitals Pvt Ltd', 'Sparsh Hospital Gurgaon', 'Satyam Hospital Gurgaon', 'IBP Petrol Station', 'Indian Oil', 'Indian Oil', 'Punjab national bank', 'State bank of india sbi', 'Rang Parivartan', 'govt sec school', 'Dronacharya Government College', 'District library gurgaon']",40 gaj house 3 storiey building,[],,"['Environment3 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",N68008590
5 Bedroom House for sale in Sector 33 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-unitech-uniworld-resorts-sector-33-gurgaon-550-sq-ft-r5-spid-J64562212,Unitech Uniworld Resorts,10 Crore,"₹ 181,818/sq.ft.",(51 sq.m.) Plot Area,Plot area 550(51.1 sq.m.),5 Bedrooms,6 Bathrooms,3 Balconies,"Study Room,Servant Room","Sector 33 Gurgaon, Gurgaon, Haryana",4 Floors,North-East,0 to 1 Year Old,"['Rajiv Chowk Mosque', 'Airforce Hospital', 'Samvit Health Care', 'Smile Plus Dental Clinic', 'Medanta', 'Pushpanjali Hospital Gurgaon', 'Rajendra Hospital', 'Bansal Medicare and Maternity Centre', 'Vaishnavi Nursing Home', 'Pushpanjali Hospital', 'Parmar Dental Clinic & Lab', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Rachna Dental Clinic', 'Shri Ram Dental Clinic', 'Ayushman Hospital And Trauma Centre', 'Nutan Dental Hospital', 'Sai Dental Clinic', 'Thakral Nursing and Maternity Home', 'Sunrise Hospital Gurgaon', 'Kathuria Hospital', 'Bhanu Dental Care', 'Parashar Hospital', 'Vinayak Hospital Gurgaon', 'Clove Dental', 'Gautam Hospital', 'Harshila Dental Clinic', 'Nangia Hospital Ent and Maternity', 'Dental Xpert Dental Clinic', 'Rama Hospital & Nursing Home', 'Sukhmani Hospital Pvt. Ltd', 'Pasricha Hospital and Maternity Home', 'Aarvy Hospital', 'Sethi Hospital Gurgaon', 'Shubham Hospital Gurgaon', 'The Muskan Dental Clinic', 'Dayal Eye & Maternity Centre', 'Mangalam Hospital and Heart Centre Gurgaon', 'Road and Traffic Authority', 'Gurgaon Election Commission', 'Indian Oil', 'India Oil', 'IBP Petrol Station', 'SRS Cinemas', 'KFC', 'Darbar', 'Kendriya Vidyalaya No.2 Sohna Road', 'CR Model Public School']","It is a corner and east facing villa. The possession is taken and lots of improvement work been carried out. It has lift installed and has basement, ground floor, first and second floor built up. It offers 5 bedrooms, drawing dining , family lounge, store and sq. Vastu perfect. It has front side garden, big back yard and big balconies. Terrace has a splash pool provision. Please call for further knformmatio information.",,"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Park', 'Rain Water Harvesting']","['Environment3 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",J64562212
2 Bedroom House for sale in Mahavir pura,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-mahavir-pura-gurgaon-100-sq-ft-spid-Q67975796,mahavir pura,75 Lac,"₹ 75,000/sq.ft.",(9 sq.m.) Plot Area,Plot area 100(9.29 sq.m.),2 Bedrooms,3 Bathrooms,2 Balconies,,"Mahavir pura, Gurgaon, Haryana",3 Floors,,10+ Year Old,"['Sheetla Mata Mandir', 'Bhatnagar Maternity and Nursing Home', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Kidney Clinic', 'Sparsh Hospital Gurgaon', 'Dr. Agya Ram Sharma Clinic', 'Jackson Hospital', 'Lalit Dental Care', 'M Goel Hospital', 'Kharbanda Maternity and Nursing Home', 'Dentecare - Multispeciality Dental Clinic', 'Lall Nursing and Maternity Home', 'Om Charitable Dental & Implant Centre', 'Lall Eye Care Centre', 'D.R. Rajnis Gupta Clinic', 'GH Gurgaon', 'Dental Health Centre', 'Ravi Clinic and Health Care Centre', 'Aryan Hospital', 'Nova Care Clinic', 'Verma E.N.T. Hospital', 'Gupta Hospital Gurgaon', 'Bindal Clinic', 'Geeta Nursing Home Gurgaon', 'M.S Hospital', 'Triveni Hospital Gurgaon', 'Gurgaon Eye Centre', 'My Care Clinic', 'Dr. Ajay S. Gupta Clinic', 'Mamta Hospital Gurgaon', 'Ahooja Eye and Dental Institute Hospital', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Lotus Hospital Gurgaon', 'Chiranjiv Hospital', 'Dr. Sandeep Chauhan', 'Sharma Hospital Gurgaon', 'Nidhi Clinic', 'Swastik Maternity and Medical Centre', 'Dr. Tomar Clinic', 'Children Hospital', 'Dr. Babita Sharma', 'Sarvodya Hospital', 'Jeevan Jyoti Hospital Gurgaon', 'State bank of india', 'Punjab national bank', 'Rang Parivartan', 'Dronacharya Government College', 'St. Michaels Sr. Sec. School', 'govt sec school']",In the middle of the city and have access to all amenities.Metro is planned and will have a station within 2 km radius,[],,,Q67975796
7 Bedroom House for sale in Malibu Town,https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-malibu-town-gurgaon-1728-sq-ft-spid-V67975260,,4.6 Crore,"₹ 26,620/sq.ft.",(161 sq.m.) Plot Area,Plot area 192(160.54 sq.m.),7 Bedrooms,6 Bathrooms,3+ Balconies,,"Malibu Town, Gurgaon, Haryana",4 Floors,,5 to 10 Year Old,"['Standard chartered ATM', 'Icici bank ATM', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Neelkanth Health Care', 'Best Urologist Atcomplete Family Clinic', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Meher Clinic', 'Dr. Anuj Sharma', 'Dr. Naresh Pandita', 'Bones Clinic - Orthopaedics', 'Skin Clinic', 'Divine Look Clinic Centre', 'Sukhmani Hospital Pvt. Ltd', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Samvit Health Care', 'Medanta', 'Vatsalya Clinic', 'Wembley estate club', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'SPAZE BUSINESS PARK', 'India Oil', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Hdfc bank', 'SRS Cinemas', 'SRS Cinemas', 'Haldiram', ""Domino's Pizza"", ""Nirula's"", 'India', 'Nook', 'Starbucks', 'KFC', 'Madison and Pike', 'Delhi Public School Primary Section', 'Kamla International', 'Gurugram University', 'Amity Global School', 'Manav Rachna School', 'Manav Rachna Swimming Pool']",7 bhk fully furnished property available at premium location in malibu towne,"['11 Wardrobe', '1 Water Purifier', '1 Fridge', '1 Washing Machine', '8 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Sofa', 'No Stove', 'No TV']","['Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Park', 'Rain Water Harvesting']","['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']",V67975260
